state_ut,serial_no,address_raw,host_organization,year_of_sanction,type
Uttar Pradesh,38,"V.K.S.  Virandra Nagar, Dhaura, Hasanganj, Distt. Unnao-209851","Chairman Kunwar Ram Bux Singh Edn. Society, C-11 A, Vigyan puri, Mahanagar, Lucknow-226006",1999,NGO
Uttar Pradesh,40,"Distt. Rural Development Institute Near TV Tower, Work Road, Distt. Pilibhit-262001","Vice-Chancellor, Sardar Vallabh Bhai Patel University of Agriculture & Technology, Modipuram, Meerut-250 110 (UP)",1998,SAU
Uttar Pradesh,41,"Niyamatpur, Distt. Sahajahanpur-242 001","Vice-Chancellor, Sardar Vallabh Bhai Patel University of Agriculture & Technology, Modipuram, Meerut-250 110 (UP)",1994,SAU
Uttar Pradesh,42,"Baghara, Jalalpur, Distt. Muzaffarnagar-251 053","Vice-Chancellor, Sardar Vallabh Bhai Patel University of Agriculture & Technology, Modipuram, Meerut-250 110 (UP)",1994,SAU
Uttar Pradesh,43,"IISR, Raibareilly Road, Distt. Lucknow-202 002","Director, Indian Institute of Sugarcane Research, Lucknow-202 002",1994,ICAR
Uttar Pradesh,44,"Rice Research Station, Nagina, Distt. Bijnor-246762","Vice-Chancellor, Sardar Vallabh Bhai Patel University of Agriculture & Technology, Modipuram, Meerut-250 110 (UP)",1992,SAU
Uttar Pradesh,45,"Numaish Camp, New Gopal Nagar Distt. Saharanpur-247 001","Vice-Chancellor, Sardar Vallabh Bhai Patel University of Agriculture & Technology, Modipuram, Meerut-250 110 (UP)",1992,SAU
Uttar Pradesh,46,"Bara Pathar Farm, Ujhani, Distt. Badaun-243639","Vice-Chancellor, Sardar Vallabh Bhai Patel University of Agriculture & Technology, Modipuram, Meerut-250 110 (UP)",1992,SAU
Uttar Pradesh,47,"Behind Ordinance Factory, Muradnagar, Ghaziabad-201 206 Phone/Fax: 01232-262300 email: ghaziabadkvk@gmail.com","Vice-Chancellor, Sardar Vallabh Bhai Patel University of Agriculture & Technology, Modipuram, Meerut-250 110 (UP)",1992,SAU
Uttar Pradesh,48,"Dhamaura, Post Dhamaura Distt. Rampur-243701","Vice-Chancellor, Sardar Vallabh Bhai Patel University of Agriculture & Technology, Modipuram, Meerut-250 110 (UP)",1992,SAU
Uttar Pradesh,49,"Swami Kalyan Dev  Hastinapur, Distt. Meerut-250 404","Vice-Chancellor, Sardar Vallabh Bhai Patel University of Agriculture & Technology, Modipuram, Meerut-250 110 (UP)",1992,SAU
Uttar Pradesh,50,"Vill. & PO. Sohna, Distt. Siddharth Naga-272192","Vice-Chancellor, Narendra Dev University of Agriculture and Technology, Kumarganj, Faizabad-224 229",1992,SAU
Uttar Pradesh,51,"Central Dairy Farm Complex, Anoopshahar Rd., Distt. Aligarh-202 001","Vice-Chancellor, C.S.Azad. Univ. of Agril. & Technology, Kanpur-208 002",1992,SAU
Uttar Pradesh,52,"C/o Allahabad Agricultural Deemed University, Distt. Allahabad-211007","Director, Allahabad Agricultural Research Institute, Naini, Allahabad-211007",1992,DU
Uttar Pradesh,53,"Via Pahari, Ganiwan, Distt. Chitrakoot-210206","Chairman, Deen Dayal Research Institute 7-E,Swamy Ramtirth Nagar,Near Rani Jhansi Road, New Delhi-110055",1992,NGO
Uttar Pradesh,54,"Pilkhi, PO. Haldhapur Distt. Mau-221705","Vice-Chancellor, Narendra Dev University of Agriculture and Technology, Kumarganj, Faizabad-224 229",1989,SAU
Uttar Pradesh,55,"Kallipur, PO. Mirzamurad, Distt. Varanasi-221 307","Vice-Chancellor, Narendra Dev University of Agriculture and Technology, Kumarganj, Faizabad-224 229",1989,SAU
Uttar Pradesh,56,"Banjariaya Farm, PO. Katiya, Distt. Basti-272 232","Vice-Chancellor, Narendra Dev University of Agriculture and Technology, Kumarganj, Faizabad-224 229",1989,SAU
Uttar Pradesh,57,"Bharari, PO. Bhojla, Distt. Jhansi-284 003","Vice-Chancellor, C.S.Azad. Univ. of Agril. & Technology, Kanpur-208 002",1989,SAU
Uttar Pradesh,58,"Tharion, PO.Tharion, Distt. Fatehpur-212622","Vice-Chancellor, C.S.Azad. Univ. of Agril. & Technology, Kanpur-208 002",1989,SAU
Uttar Pradesh,59,"Jai-prabha, Gram-Gopalgram, Distt. Gonda-271 125","Chairman, Deen Dayal Research Institute 7-E,Swamy Ramtirth Nagar,Near Rani Jhansi Road, New Delhi-110055",1989,NGO
Uttar Pradesh,60,"IVRI, Izatnagar, Distt. Bareilly-243122","Director, Indian Veterinary Research Institute, Izatnagar, Bareilly-243122",1985,ICAR
Uttar Pradesh,61,"PO. Sohoan, Distt. Ballia-277 504","Vice-Chancellor, Narendra Dev University of Agriculture and Technology, Kumarganj, Faizabad-224 229",1984,SAU
Uttar Pradesh,62,"Dairy Farm, Veterinary College, Distt. Mathura-281001","Vice-Chancellor, Pt. Deen Dayal Upadhyaya Pashu Chikitsa Vigyan Vishwa Vidhyalaya Evam Go Anusandhan Santhan, Mathura-281 001",1984,SAU
Uttar Pradesh,63,"Dariapur, PO. Munsiganj, Distt. Rai Bareli-229405","Vice-Chancellor, C.S.Azad. Univ. of Agril. & Technology, Kanpur-208 002",1984,SAU
Uttar Pradesh,64,"Barakachha Farm, PO. Belhara Institute of Agricultural Science, Distt. Mirzapur-231001","Vice-Chancellor, Banaras Hindu University, Varanasi-110005",1984,CU
Uttar Pradesh,65,"Crop Research Station, Near Kisan Degree College, Distt. Bahraich-271 801","Vice-Chancellor, Narendra Dev University of Agriculture and Technology, Kumarganj, Faizabad-224 229",1983,SAU
Uttar Pradesh,66,"R.B.S. College, Awagarh, Distt. Etah-207 30	Principal, Raja Balwant Singh College, Bichpuri, Agra-283 105	1982 OEI",,1982,OEI
Uttar Pradesh,67,"C/o Kamla Nehru Memorial Trust, PO. KNI, Lal Diggi Civil Lines, Distt. Sultanpur-228118","Secretary, Kamla Nehru Memorial Trust, PO. KNI, Lal Diggi Civil Lines Sultanpur-228118",1976,NGO
Uttar Pradesh,68,"Vill.-Katia, Post-Manpur, Block & Tehsil-Biswan, Distt.- Sitapur(Uttar Pradesh)","Secretary, Ranvir Rananjay Degree College Association, Amethi-Sultanpur-227 405 (Uttar Pradesh)	NGO",2011,
Uttar Pradesh,69,Gorakhpur (UP)(Uttar Pradesh),"Secretary, Guru Gorakshnath Seva Sansthan, Gorakhpur (UP) (Uttar Pradesh)	NGO",2016,
Uttar Pradesh,70,"Village Rajkiya Krishi Prakshetra, Mohanpura Block, Tehsil Kasganj, Distt. Kasganj, Uttar Pradesh.","Vice Chancellor,, Chandra Shekhar Azad University of Agri. & Technology, Gorakhpur Kanpur-208 002, Uttar Pradesh",2018,SAU
Uttar Pradesh,71,"Village & PO Kathora, Block Jagdishpur, Tehsil Musafirkhana, Distt. Amethi, Uttar Pradesh..","Vice Chancellor,, ND University of Agriculture & Technology,Kamarganj ,Faizabad-224229, Uttar Pradesh.",2018,SAU
Uttar Pradesh,72,"Distt. Bahraich, Uttar Pradesh.","Vice Chancellor,, ND University of Agriculture & Technology,Kamarganj ,Faizabad-224229, Uttar Pradesh.",2018,SAU
Uttar Pradesh,73,"Distt. Badaun, Uttar Pradesh.","Vice Chancellor,, Sardar Vallabh Bhai Patel University of Agriculture & Technology, Modipuram, Meerut Uttar Pradesh",2018,SAU
Uttar Pradesh,74,"Distt. Sambhal, Uttar Pradesh.","Vice Chancellor,, Sardar Vallabh Bhai Patel University of Agriculture & Technology, Modipuram, Meerut Uttar Pradesh",2018,SAU
Uttar Pradesh,75,"Babugarh Block Simbhaoli Distt. Hapur, Uttar Pradesh.","Vice Chancellor,, Sardar Vallabh Bhai Patel University of Agriculture & Technology, Modipuram, Meerut Uttar Pradesh",2018,SAU
Uttar Pradesh,76,"Village Jalalpur, Pargana Shamli, Distt. Shamli, Uttar Pradesh	Sardar Vallabh Bhai Patel University of Agriculture & Technology, Modipuram,  Meerut, Uttar Pradesh.	2018 SAU",,2018,SAU
Uttar Pradesh,77,"Aillage Maheba Nankar, Block & Tehsil- Manakpur, Distt. Gonda, Uttar Pradesh.	ND University of Agriculture & Technology, Kamarganj,Faizabad-224229, (U. P)	2018 SAU",,2018,SAU
Uttar Pradesh,78,"Village Rajkiya Krishi Prakshetra, Tarapur, Block Gajraula, The. Dhanaura, Distt. Amroha, Uttar Pradesh	Sardar Vallabh Bhai Patel University of Agriculture & Technology,	2018 SAU",,2018,SAU
Uttar Pradesh,79,"Village Varasin, Block-Dharpatganj, Distt. Sultanpur, Uttar Pradesh.	ND University of Agriculture & Technology,Kamarganj, Faizabad-224229, Uttar Pradesh	2018 SAU",,2018,SAU
Uttar Pradesh,80,"Village Amhit, Block Kirakat, Distt. Jaunpur, Uttar Pradesh	ND University of Agriculture & Technology, Kamarganj, Faizabad-224229, Uttar Pradesh.	2018 SAU",,2018,SAU
Uttar Pradesh,81,"Village Ankushpur, Block Karanda, Tehsil Ghazipur, Distt. Ghazipur, Uttar Pradesh	ND University of Agriculture & Technology, Kamarganj, Faizabad-224229, Uttar Pradesh	2018 SAU",,2018,SAU
Uttar Pradesh,82,"Village Chittaura, Block & Tehsil- Jansath, Distt. Muzaffarnagar, Uttar Pradesh.	Sardar Vallabh Bhai Patel University of Agriculture & Technology, Modipuram,  Meerut, Uttar Pradesh	2018 SAU",,2018,SAU
Uttar Pradesh,83,"Village Maheva (Manjhra Farm), Pargana-Shrinagar, Distt. Lakhimpur Kheri, Uttar Pradesh.	Indian Institute of sugarcane Research, Raebareli Road, Post Dilkusha, Lucknow-226 002, (UP)	2019 ICAR",,2019,ICAR
Uttar Pradesh,84,"Chittaura Agriculture Farm, Rajkiya Krishi Prakshetra, Jaitpur, Block and Tehsil Sandila Distt. Hardoi, Uttar Pradesh.","Vice Chancellor,, Central Soil Salinity Research Institute,Karnal, Haryana-132 001",2020,ICAR
Uttar Pradesh,85,".	Chittaura Vill. Rajkiya Krishi Prakshetra Malpura Block, Tehsil Thakurdwara.Distt. Muradabad, Uttar Pradesh","Vice Chancellor,, Sardar Vallabh Bhai Patel University of Agriculture & Technology, Modipuram, Meerut Uttar Pradesh",2020,SAU
Uttar Pradesh,86,"Chittaura Village Gabbapur Kala, Block Sirsiya, Tehsil Bhinga, Distt. Shravasti, Uttar Pradesh.","Vice Chancellor,, Acharya Narendra Deva University of Agriculture and Technology, Kumarganj, Ayodhya-224 229 Uttar Pradesh",,
Jharkhand,1,"Seed Multiplication Farm, Gamharia Distt. Saraikela-Kharsawan","Vice-Chancellor, Birsa Agricultural University, PO.Kanke, Ranchi-834 006",2010,SAU
Jharkhand,2,"Seed Multiplication Farm, Bano, Distt. Simdega-","Vice-Chancellor, Birsa Agriucltural Unviersity Kanke, Ranchi-834006",2007,SAU
Jharkhand,3,"Seed Multiplication Farm, Balumath, Distt. Latehar-","Vice-Chancellor, Birsa Agriucltural Unviersity Kanke, Ranchi-834006",2007,SAU
Jharkhand,4,"Agricultural Farm, Bena, Distt. Jamtara-","Vice-Chancellor, Birsa Agriucltural Unviersity Kanke, Ranchi-834006",2007,SAU
Jharkhand,5,"Near Sub-Divisional Agricultural Office, Godda-Pirpaiti Road (Rautara Chowk), Distt. Godda-814133	Gramin Vikas Trust, 280 Kanke Road Panijahaj Kothi, Ranchi-8	2006 NGO",,2006,NGO
Jharkhand,6,"Jainagar, Distt. Koderma-825324","Director, Central Rice Research Institute, Cuttack,Orissa",2005,ICAR
Jharkhand,7,"Zonal Agricultural Research Station, PO.Khutabandh, Distt. Dumka-814101","Vice-Chancellor, Birsa Agricultural University, Kanke, Ranchi-834006",2004,SAU
Jharkhand,8,PO.Maheshpur Farm Distt. Pakur-816 016,"Vice-Chancellor, Birsa Agricultural University, Kanke, Ranchi-834006",2004,SAU
Jharkhand,9,"Old D.K.G.K. Office, PO. Lohardanga Distt. Lohardanga-834006","Vice-Chancellor, Birsa Agricultural University, Kanke, Ranchi-834006",2004,SAU
Jharkhand,10,"PO. Bengabad, Near Block Office, Distt. Giridih-815 301","Vice-Chancellor, Birsa Agricultural University, Kanke, Ranchi-834006",2004,SAU
Jharkhand,11,"PO. Petawar, (Near block) Distt. Bokaro-829 121","Vice-Chancellor, Birsa Agricultural University, Kanke, Ranchi-834006",2004,SAU
Jharkhand,12,"Darisai, Vill-Barakhurshi, PO.Giridhi, Distt. East Singhbhum-832 304","Vice-Chancellor, Birsa Agricultural University, Kanke, Ranchi-834006",2004,SAU
Jharkhand,13,PO. Sahibganj Farm Distt. Sahibganj. -816 109,"Vice-Chancellor, Birsa Agricultural University, Kanke, Ranchi-834006",2004,SAU
Jharkhand,14,"Seed Multiplication Farm Kullu, Distt. Chatra-","Vice-Chancellor, Birsa Agricultural University, Kanke, Ranchi-834006",2004,SAU
Jharkhand,15,"Sub-Divisional Agricultural Farm, Distt. Garwah-822114","Vice-Chancellor, Birsa Agricultural University, Kanke, Ranchi-834006",2004,SAU
Jharkhand,16,"Vikas Bharati, Bishunpur, Distt. Gumla-835331","Secretary, Research &Study Centre, Gram Ayatan-19, Arogya Bhawan-1, Bariatu, Ranchi-834009, Jharkhand",2004,NGO
Jharkhand,17,"Daltonganj, Chianki, Distt. Palamau-822 113","Vice-Chancellor, Birsa Agricultural University, Kanke, Ranchi-834006",2002,SAU
Jharkhand,19,"Sujani, PO. Ghorlash, Distt. Deoghar-814152	General","Secretary, Santhal Paharia Seva Mandal Deoghar-814152",1985,NGO
Jharkhand,20,"Holycross, Near Kanari Hill, Distt. Hazaribagh-825 301	Directress, Holycross V.T.I., Hazaribagh-825301	1984 NGO",,1984,NGO
Jharkhand,21,"Jagannathpur, Distt. West Singhbhum-833203","Vice-Chancellor, Birsa Agricultural University, Kanke, Ranchi-834006",1983,SAU
Jharkhand,22,"PO. Morabadi, Distt. Ranchi-834008","Secretary, Rama Krishna Mission Ashram Divayayan Krishi Vigyan Kendra, Swami Vishuddananda Road Morabadi, Ranchi-834008",1977,NGO
Jharkhand,23,"Diyankel Village, Torpa Block Distt. Khunti (Jharkhand)","Director Indian Institute of Natural Resins and Gums, Namkum, Ranchi 834010 (Jharkhand)",2013,ICAR
Jharkhand,24,Distt. Ramgarh (Jharkhand),"Director ICAR Research Complex for Eastern Region , ICAR Parisar, PO Bihar Veterinary Collage,Patna 800014 (Bihar)",2014,ICAR
Bihar,2,"Lalganj S.M. Farm, Distt. Buxar	Directror, ICAR Reseerch Complex for Eastern Region, ICAR Parisar, PO. B.V., College, Patna-800014	2007 ICAR",,2007,ICAR
Bihar,3,"Village & PO. Chainpura via Janakpur Road, Distt. Sitamarhi-843320","Secretary, Samata Seva Kendra Vill: & PO Chainpura via Janakpur Road, Distt. Sitamarhi-843320",2006,NGO
Bihar,4,"Agricultural Farm, Manjhi, Distt-Saran-841313","Vice-Chancellor, Dr. RPCAU, Pusa, Samastipur-848125",2006,CAU
Bihar,5,"Distt. Agricultural Farm Raghopur, Distt. Supaul-852111","Vice-Chancellor, Bihar Agril. University, Sabour, Bhagalpur-813210",2006,SAU
Bihar,6,"Seed Multiplication Farm, Manpur, Distt. Gaya-823003","Vice-Chancellor, Bihar Agril. University, Sabour, Bhagalpur-813210",2006,SAU
Bihar,7,"C/O-Bal Narayan Singh Rani Pokhar, Back of Petrol Pump, Near Zero Mile, Distt. Sheohar-843329","Vice-Chancellor, Dr. RPCAU, Pusa, Samastipur-848125",2006,CAU
Bihar,8,"Sirish Agricultural Farm, Distt. Aurangabad-824112","Vice-Chancellor, Bihar Agril. University, Sabour, Bhagalpur-813210",2006,SAU
Bihar,9,"Seed Multiplication Farm, Halsi, Distt. Lakhisarai-811115","Vice-Chancellor, Bihar Agril. University, Sabour, Bhagalpur-813210",2006,SAU
Bihar,10,"Pipra Kothi, Distt. East Champaran-845401","Vice-Chancellor, Dr. RPCAU, Pusa, Samastipur-848125",2006,CAU
Bihar,11,"PO. Thakurganj, Distt. Kishanganj-854316","Vice-Chancellor, Bihar Agril. University, Sabour, Bhagalpur-813210",2006,SAU
Bihar,12,Distt. Gopalganj,"Vice-Chancellor, Dr. RPCAU, Pusa, Samastipur-848125",2006,CAU
Bihar,13,"Sabour, Distt. Bhagalpur-813210","Vice-Chancellor, Bihar Agril. University, Sabour, Bhagalpur-813210",2004,SAU
Bihar,14,"Bikramganj, Distt. Rohtas-802212","Vice-Chancellor, Bihar Agril. University, Sabour, Bhagalpur-813210",2004,SAU
Bihar,15,Distt. Araria-854311,"Vice-Chancellor, Bihar Agril. University, Sabour, Bhagalpur-813210",2004,SAU
Bihar,16,"Jalalgarh, Distt. Purnea-854327","Vice-Chancellor, Bihar Agril. University, Sabour, Bhagalpur-813210",2004,SAU
Bihar,17,PO.Tingachhia Distt. Katihar-854105,"Vice-Chancellor, Bihar Agril. University, Sabour, Bhagalpur-813210",2004,SAU
Bihar,18,"Birauli, Distt. Samastipur-848113","Vice-Chancellor, Dr. RPCAU, Pusa, Samastipur-848125",2004,CAU
Bihar,19,"Regional Research Station, Bhagabanpurhat, Distt. Siwan-845454","Vice-Chancellor, Dr. RPCAU, Pusa, Samastipur-848125",2004,CAU
Bihar,20,Madhopur Distt. West Champaran-845454,"Vice-Chancellor, Dr. RPCAU, Pusa, Samastipur-848125",2004,CAU
Bihar,21,Distt. Madhepura-852113,"Vice-Chancellor, Bihar Agril. University, Sabour, Bhagalpur-813210",2002,SAU
Bihar,22,At+ PO. Saraya Distt. Muzaffarpur-843126,"Vice-Chancellor, Dr. RPCAU, Pusa, Samastipur-848125",1997,CAU
Bihar,23,"Seed Multiplication Farm, Mussi, Makhdumpur, Distt. Jahanabad","Vice-Chancellor, Bihar Agril. University, Sabour, Bhagalpur-813210",1997,SAU
Bihar,24,"Jale, Distt. Darbhanga-847302","Vice-Chancellor, Dr. RPCAU, Pusa, Samastipur-848125",2006,CAU
Bihar,25,"Hariharpur, Rajauli Hajipur Farm, Distt. Vaishali-844101","Vice-Chancellor, Dr. RPCAU, Pusa, Samastipur-848125",1996,CAU
Bihar,26,"Ariari, Distt. Sheikhpura-811105.","Vice-Chancellor, Bihar Agril. University, Sabour, Bhagalpur-813210",1996,SAU
Bihar,27,"S.K. Choudhary Educaitonal Trust, Basaith, Vill. Chandpura, Distt. Madhubani-847102","President-cum-Managing Truestee S.K. Choudhary educationala Trust 141 Sukhdev Vihar, Mathura Road, New Delhi-110025.",1994,NGO
Bihar,28,"SCADA, PO. Ara, Distt. Bhojpur-802301","Chairman, Sone Command Area Development Agency, Sone Bhavan, Patna.",1993,PSU
Bihar,29,"Khodawandpur-848 202, Distt. Begusarai","Vice-Chancellor, Dr. RPCAU, Pusa, Samastipur-848125",1992,SAU
Bihar,30,Harnaut Distt. Nalanda-803 110,"Vice-Chancellor, Bihar Agril. University, Sabour, Bhagalpur-813210",1992,SAU
Bihar,31,"Agwanpur, Barh, Distt. Patna-803 214","Vice-Chancellor, Bihar Agril. University, Sabour, Bhagalpur-813210",1992,SAU
Bihar,32,Adhura Distt. Kaimur(Bhabua)-821116,"President, Vanvasi seva Kendra, Ward No.11 Kothi Compound (Opposite Rice Mill) Bhabua-821101",1992,NGO
Bihar,33,"Vijay Nagar, Distt. Banka-813 102","Vice-Chancellor, Bihar Agril. University, Sabour, Bhagalpur-813210",1983,SAU
Bihar,34,"PO. Shankarpur, Distt. Munger-811201","Vice-Chancellor, Bihar Agril. University, Sabour, Bhagalpur-813210",1979,SAU
Bihar,35,"Agwanpur, Distt. Saharsa-852201","Vice-Chancellor, Bihar Agril. University, Sabour, Bhagalpur-813210",1979,SAU
Bihar,36,"Sarvodya Ashram, At+PO Sokhodeora Distt. Nawadah-805116	General secetary, Gram Nirman Mandal Ashram Sukhodera-805106, Nawahad	1979 NGO",,1979,NGO
Bihar,37,"Mural Block, Sadikpur Muzaffarpur","Vice-Chancellor, Dr. RPCAU, Pusa, Samastipur-848125",2016,CAU
Bihar,38,"Sub-divisional Farm Distt. Khagaria-8512105, (Bihar)","Vice-Chancellor, Bihar Agricultural University, Sabour, Bhagalpur-813 210 (Bihar)",2012,SAU
Bihar,39,"State Seed Multiplication Farm, Lada Distt. Samastipur, Bihar","Vice-Chancellor, Dr. RPCAU, Pusa, Samastipur-848125",2019,CAU
Bihar,40,"State Seed Multiplication Farm, Suket Distt. Madhubani, Bihar","Vice-Chancellor, Dr. RPCAU, Pusa, Samastipur-848125",2019,CAU
Bihar,41,"State Seed Multiplication Farm, Parsauni Distt. East Champaran, Bihar","Vice-Chancellor, Dr. RPCAU, Pusa, Samastipur-848125",2019,CAU
Bihar,42,"State Seed Multiplication Farm, Narkatiyaganj,Distt. West Charmparan, Bihar","Vice-Chancellor, Dr. RPCAU, Pusa, Samastipur-848125",2019,CAU
Bihar,43,"State Seed Multiplication Farm, Amas, Distt. Gaya, Bihar","Vice-Chancellor, Bihar Agril. University,, Sabour, Bhagalpur-813210",2019,SAU
Bihar,44,"Village Garo, Nawada, Distt. Jamui,Bihar","Vice-Chancellor, Bihar Animal Sciences University, Patna-800 014 (Bihar)",2019,SAU
A & N Islands,1,"Auckchung, Distt. Nicobar (A&N Islands)","The Director, Central Agricultural Research Institute, Andaman and Nicobar Islands Port Blair-744101	20.5.10",,ICAR
A & N Islands,2,Port Blair-744101,"The Director, Central Agricultural Research Institute, Andaman and Nicobar Islands Port Blair-744101",1992,ICAR
A & N Islands,3,"Govindapur, Mayabunder Tehsil, North and Middle Andman District(Andman & Nicobar)","The Director, Central Agricultural Research Institute, Andaman and Nicobar Islands, Port Blair-744101 07/02/12",,ICAR
Odisha,1,"Rajendra Experimental Farm, Distt. Bolangir-","Vice-Chancellor, Orissa University of Agriculture and Technology, Bhubaneswar(Orissa)",2009,SAU
Odisha,2,"Mungalguda, Malkangiri, Distt. Jeypora-764048","Vice-Chancellor, Orissa University of Agriculture & Technology, Bhubaneswar-751 003",2006,SAU
Odisha,3,"At. Krishna Chranpur, PO. Gopapur, Via Baramba, Distt. Cuttack","Vice-Chancellor, Orissa University of Agriculture & Technology, Bhubaneswar-751 003",2006,SAU
Odisha,4,"At/PO. Rasulgarh, Plot No. 99/980 Distt. Jharsuguda-","Vice-Chancellor, Orissa University of Agriculture & Technology, Bhubaneswar-751 003",2006,SAU
Odisha,5,"Vill Ampara, PO. Dasthati, PS. Gop Distt. Puri-","Vice-Chancellor, Orissa University of Agriculture & Technology, Bhubaneswar-751 003",2006,SAU
Odisha,6,"At.Nimkana, Po-Manijanga, ViaTirole, Distt. Jagatsinghpur-754160","Vice-Chancellor, Orissa University of Agriculture & Technology, Bhubaneswar-751 003",2005,SAU
Odisha,7,"At/PO. R.Udayagiri, Distt. Gajapati-761016","Vice-Chancellor, Orissa University of Agriculture & Technology, Bhubaneswar-751 003",2005,SAU
Odisha,8,"Rayagada, OUAT, Agriculture Farm At/Po Gunupur, Distt. Rayagada-765022","Vice-Chancellor, Orissa University of Agriculture & Technology, Bhubaneswar-751 003",2005,SAU
Odisha,9,At/PO/Distt. Nuapada-766 105,"Vice-Chancellor, Orissa University of Agriculture & Technology, Bhubaneswar-751 003",2005,SAU
Odisha,10,At.Po-Butupali Dist Boudh-762 014,"Vice-Chancellor, Orissa University of Agriculture & Technology, Bhubaneswar-751 003",2005,SAU
Odisha,11,At/PO. Shyamakhunta Distt. Mayurbhanj-757 049,"Vice-Chancellor, Orissa University of Agriculture & Technology, Bhubaneswar-751 003",2005,SAU
Odisha,12,Agricultural Farm PO. Bolangir Road Distt. Sonepur-767 017,"Vice-Chancellor, Orissa University of Agriculture & Technology, Bhubaneswar-751 003",2005,SAU
Odisha,13,"At/ PO Ranital, Distt. Bhadrak-756 111","Vice-Chancellor, Orissa University of Agriculture & Technology, Bhubaneswar-751 003",2004,SAU
Odisha,14,"At/PO, Badakumari, Umerkote, Distt. Nabarangpur-764 073","Vice-Chancellor, Orissa University of Agriculture & Technology, Bhubaneswar-751 003",2004,SAU
Odisha,15,"PO Kirei, Distt. Sundergarh-770 073","Vice-Chancellor, Orissa University of Agriculture & Technology, Bhubaneswar-751 003",2004,SAU
Odisha,16,"At Panipoila, PO. Balugaon, Distt. Nayagarh-752 070","Vice-Chancellor, Orissa University of Agriculture & Technology, Bhubaneswar-751 003",2004,SAU
Odisha,17,"RRTTS Campus, Chiplima, Distt. Sambalpur-768 025","Vice-Chancellor, Orissa University of Agriculture & Technology, Bhubaneswar-751 003",2004,SAU
Odisha,18,"At PO. Barachana, Distt. Jaipur-754 081","Vice-Chancellor, Orissa University of Agriculture & Technology, Bhubaneswar-751 003",2002,SAU
Odisha,19,"At Jajanga, PO. Kapaleshwar, Distt. Kendrapara-754 211","Vice-Chancellor, Orissa University of Agriculture & Technology, Bhubaneswar-751 003",1994,SAU
Odisha,20,"RRTTS Campus, PO Mahisapet, Distt. Dhenkanal-759 001","Vice-Chancellor, Orissa University of Agriculture & Technology, Bhubaneswar-751 003",1994,SAU
Odisha,21,"259, Vikash Nagar, PO. PTC, Distt. Angul-759 123","Vice-Chancellor, Orissa University of Agriculture & Technology, Bhubaneswar-751 003",1994,SAU
Odisha,22,"At.Gambhirpalli, PO. Larambha, Distt. Bargarh-768102","Vice-Chancellor, Orissa University of Agriculture & Technology, Bhubaneswar-751 003",1992,SAU
Odisha,23,"At/PO.Bhawanipatna, Distt. Kalahandi-766 001","Vice-Chancellor, Orissa University of Agriculture & Technology, Bhubaneswar-751 003",1992,SAU
Odisha,24,"Ucchapada, Via Kota Sahi, Distt. Cuttack-754 022","Director, Central Rice Research Institute, Cuttack-753 006",1992,ICAR
Odisha,25,"At Benakunda, PO. Dihapadhala via Bhanjanagar Distt. Ganjam-761 126","Vice-Chancellor, Orissa University of Agriculture & Technology, Bhubaneswar-751 003",1985,SAU
Odisha,26,"At/PO. Devog, Baliapal, Distt. Balasore-756023","Vice-Chancellor, Orissa University of Agriculture & Technology, Bhubaneswar-751 003",1983,SAU
Odisha,27,"P.Box No-10, Sunabeda, Distt. Koraput-763002","Vice-Chancellor, Orissa University of Agriculture & Technology, Bhubaneswar-751 003",1982,SAU
Odisha,28,"Reg. Res.Station, Judia Farm, PO. Keonjhar-758 002","Vice-Chancellor, Orissa University of Agriculture & Technology, Bhubaneswar-751 003",1982,SAU
Odisha,29,"PO. Udyagiri, Distt. Kandhamal (Phulbani)-762100","Vice-Chancellor, Orissa University of Agriculture & Technology, Bhubaneswar-751 003",1982,SAU
Odisha,30,"CIFA at PO. Kausalayaganga, via Khurda, Bhubaneswar, Distt. Khurda-751 002","Director, Central Institute of Freshwater Aquaculture, Kausalyaganga, Dhauli, Bhubneswar-751002	1976 ICAR 31 Krishi Vigyan Kendra Vill.- Ankushpur (ratanpur Farm), Tehsil- Berhrampur, Distt.- Ganjam The Vice Chancellor, Orissa University of Agriculture & Technology, Bhubaneshwar- 751 003 @ 32 Krishi",31/03/2012,SAU
West Bengal,1,"Village Milebasa, PO.Kalukhali, P.S. Bhagwangola, Distt. Murshidabad-742135","Director, of Research, Extension & Farms West Bengal University of Animal & Fishery Sciences,68, Khudiram Bose Sarani Kolkata-700 037",2006,SAU
West Bengal,2,"Block Seed Farm Chopra, Distt. Uttar Dinajpur-733216","Vice-Chancellor, Uttar Banga Krishi Vishwa Vidyalaya, Pundibari-736165",2005,SAU
West Bengal,3,"PO.Jagatballavpur, Distt. Howrah-711408","Vice-Chancellor, Bidhan Chandra Krishi Vishwa Vidyalaya, Mohanpur,Nadia-741252",2005,SAU
West Bengal,4,"PO.Chinsurah, Distt. Hooghly-712101","Vice-Chancellor, Bidhan Chandra Krishi Vishwa Vidyalaya, Mohanpur,Nadia-741252",2005,SAU
West Bengal,5,812/1-Ashoknagar Distt. North 24 Parganas-743222,"Vice Chancellor, West Bengal University of Animal & Fishery Sciences, 68, Khudiram Bose Sarani Kolkata-700 037",2005,SAU
